age,gender,height_cm,weight_kg,target_weight_kg,goal,activity_level,dietary_preference,sleep_hours,stress_score,workout_freq,bmr,tdee,target_calories,target_protein,target_carbs,target_fat
34,male,174.9,87.1,81.4,weight_loss,moderate,non_vegetarian,7.9,9,1,1798.8,2788.1,2392.6,193.4,255.1,66.5
27,female,161.4,83.0,77.4,weight_loss,sedentary,vegetarian,5.6,4,6,1542.0,1850.4,1381.5,178.6,80.4,38.4
25,female,166.8,58.4,67.1,muscle_gain,active,vegan,8.3,7,3,1340.9,2313.0,2625.8,116.9,375.5,72.9
32,female,149.6,43.3,47.0,muscle_gain,light,vegan,6.8,6,5,1047.1,1439.7,1759.5,91.5,238.4,48.9
19,female,165.2,53.1,38.4,weight_loss,active,vegetarian,7.4,10,3,1307.5,2255.5,1681.1,112.2,203.0,46.7
44,male,174.2,78.9,66.6,weight_loss,sedentary,non_vegetarian,8.5,2,4,1663.2,1995.8,1431.9,181.1,87.3,39.8
24,female,163.8,50.2,49.7,endurance,moderate,non_vegetarian,6.4,2,5,1244.5,1928.9,2152.9,83.5,304.0,67.0
23,male,173.7,69.6,75.3,muscle_gain,light,keto,9.0,9,2,1671.2,2297.9,2795.0,174.7,34.9,217.4
29,female,155.6,73.9,61.2,weight_loss,light,vegetarian,5.7,10,6,1405.2,1932.1,1379.7,156.7,102.1,38.3
32,female,149.3,48.1,57.3,muscle_gain,active,keto,7.7,3,3,1092.6,1884.8,2248.0,140.5,28.1,174.8
37,male,177.4,76.4,84.6,muscle_gain,very_active,vegan,7.5,6,2,1692.4,3215.5,3533.3,162.6,500.0,98.1
18,male,170.2,71.6,73.0,endurance,sedentary,vegetarian,6.1,7,5,1694.5,2033.4,2304.3,117.8,297.0,71.7
33,male,161.9,82.5,82.6,endurance,active,keto,8.9,1,6,1677.2,2893.2,3057.5,191.1,38.2,237.8
23,male,180.9,92.4,92.4,maintenance,moderate,vegetarian,6.1,1,6,1944.9,3014.6,3098.9,156.0,401.8,96.4
21,female,160.8,68.0,77.1,muscle_gain,very_active,vegetarian,7.7,10,2,1419.0,2696.0,3135.2,142.1,445.7,87.1
25,male,174.5,62.5,62.5,maintenance,light,vegetarian,7.2,2,3,1595.8,2194.3,2115.5,111.2,269.6,65.8
